sintomas,especialidad
Tengo hemorragia digestiva oculta que no pasa.,Oncología
Siento que paso con frío todo el tiempo hace una semana.,Endocrinología
"Cólico renoureteral, sumado a disfunción eréctil.",Urología
Presenta anafilaxia y dice que se tomó un veneno.,Emergencias
Se queja de me duele la muela horrible que no pasa.,Odontología
"Doctor, tengo tengo el ojo rojo como tomate de inicio súbito.",Oftalmología
Manifiesta astenia y adinamia hace una semana.,Medicina General
Se queja de se me va el aire al subir gradas desde esta mañana.,Cardiología
Acude por presentar la luz me molesta muchísimo de inicio súbito.,Oftalmología
"Me palpita feo el corazón, sumado a se me va el aire al subir gradas.",Cardiología
"Algia lumbar mecánica, sumado a limitación funcional articular.",Traumatología
"Doctor, tengo tengo las piernas hinchadas como tamal desde esta mañana.",Cardiología
"Estoy tosiendo sangre, también refiere me ahogo cuando estoy durmiendo.",Neumología
Siento que me vienen unos cólicos que me tumban hace una semana.,Ginecología
Estoy con calentura y cuerpo cortado y siente tengo bolas en el cuello y axilas.,Infectología
Paciente refiere que otalgia derecha hace una semana.,Otorrinolaringología
"Tengo no tengo ganas de hacer nada, solo llorar hace una semana.",Psiquiatría
"Adenopatías generalizadas, acompañado de lesiones herpéticas.",Infectología
"Tengo una picazón allá abajo, acompañado de me vienen unos cólicos que me tumban.",Ginecología
Me duelen todas las uniones con se me ponen los dedos blancos con el frío.,Reumatología
Presento estoy tosiendo sangre que no pasa.,Neumología
Manifiesta la luz me molesta muchísimo de inicio súbito.,Oftalmología
"Doctor, tengo edema en miembros inferiores que no pasa.",Cardiología
La presión no me baja con nada y además la orina sale con mucha espuma.,Nefrología
"Dolor en fosa renal, acompañado de edema periorbitario.",Nefrología
Hay presencia de angina de pecho estable hace una semana.,Cardiología
Indica tener me sangran las encías al cepillarme desde esta mañana.,Odontología
Se queja de hematemesis desde esta mañana.,Gastroenterología
"Proteinuria espumosa, acompañado de oliguria.",Nefrología
Dolor precordial opresivo con palpitaciones taquicárdicas.,Cardiología
Acude por presentar me duelen los senos antes de la menstruación desde hace 3 días.,Ginecología
Tengo rechinar los dientes al dormir constante.,Odontología
Me da edema angioneurótico desde esta mañana.,Alergología
Indica tener tengo un dolorcito de cabeza de inicio súbito.,Medicina General
Tengo epigastralgia urente constante.,Gastroenterología
"Doctor, tengo disfagia progresiva desde esta mañana.",Oncología
Siento que tengo el ojo rojo como tomate constante.,Oftalmología
Desde ayer tengo mojo la cama de sudor en la noche que no pasa.,Infectología
"Doctor, tengo adenopatías generalizadas intermitente.",Infectología
Indica tener me arde la boca del estómago de inicio súbito.,Gastroenterología
Tengo bruxismo desde hace 3 días.,Odontología
Erupción exantemática y además pirexia no cuantificada.,Pediatría
Acude por presentar dolor musculoesquelético difuso que no pasa.,Medicina General
Presenta odinofagia intensa y dice que no puedo ni tragar del dolor de garganta.,Otorrinolaringología
Presento me arde la boca del estómago desde hace 3 días.,Gastroenterología
Se queja de crisis de ansiedad generalizada hace una semana.,Psiquiatría
Tengo intolerancia al frío constante.,Endocrinología
Me da anafilaxia que no pasa.,Emergencias
Manifiesta otalgia derecha constante.,Otorrinolaringología
Manifiesta me ahogo cuando estoy durmiendo hace una semana.,Neumología
Paciente refiere que limitación funcional articular de inicio súbito.,Traumatología
"Alopecia areata, sumado a micosis cutánea.",Dermatología
Siento que siento hormigueo en medio cuerpo de inicio súbito.,Neurología
Acude por presentar lesiones herpéticas de inicio súbito.,Infectología
El nene no para de llorar y además el guagua está hirviendo en fiebre.,Pediatría
Me da me punza la espalda al respirar intermitente.,Neumología
Siento que fiebre de origen desconocido desde esta mañana.,Infectología
"Me baja la regla muy fuerte y a deshora, también refiere tengo una picazón allá abajo.",Ginecología
Distensión abdominal con dispepsia funcional.,Gastroenterología
Manifiesta quemadura de segundo grado desde esta mañana.,Emergencias
Me baja la regla muy fuerte y a deshora y además me vienen unos cólicos que me tumban.,Ginecología
Presento se me va el aire al subir gradas hace una semana.,Cardiología
Ayúdeme con escucho voces que nadie más oye intermitente.,Psiquiatría
Tengo hipertensión arterial descontrolada constante.,Cardiología
Distensión abdominal con hematemesis.,Gastroenterología
Hay presencia de el guagua está hirviendo en fiebre desde esta mañana.,Pediatría
Presento edema y equimosis post-traumática que no pasa.,Traumatología
"Doctor, tengo me palpita feo el corazón que no pasa.",Cardiología
Ayúdeme con insomnio de conciliación que no pasa.,Psiquiatría
Se queja de miodesopsias constante.,Oftalmología
"Se me atranca la comida al pasar, sumado a me estoy secando de lo flaco.",Oncología
Se queja de tengo sangre en las heces desde hace 3 días.,Oncología
Hay presencia de dolor testicular agudo desde hace 3 días.,Urología
"Doctor, tengo disfagia progresiva constante.",Oncología
Presento polidipsia y poliuria desde esta mañana.,Endocrinología
Me palpita feo el corazón y siente siento como una pata de elefante en el pecho.,Cardiología
Me da hemorragia digestiva oculta hace una semana.,Oncología
Manifiesta vértigo periférico desde esta mañana.,Neurología
Tengo masa palpable no dolorosa desde hace 3 días.,Oncología
Me da me duelen los senos antes de la menstruación constante.,Ginecología
Me da distensión abdominal hace una semana.,Gastroenterología
Tengo un descenso que huele mal y siente me vienen unos cólicos que me tumban.,Ginecología
"Doctor, tengo siento hormigueo en medio cuerpo que no pasa.",Neurología
Me duele full el oído derecho y además me mareo si muevo la cabeza.,Otorrinolaringología
"Se me salió el hueso, también refiere tengo el cuello tieso por el frenazo.",Traumatología
"Doctor, tengo se me salió el hueso desde hace 3 días.",Traumatología
Hay presencia de deformidad articular intermitente.,Reumatología
"Prurito ocular y nasal, acompañado de edema angioneurótico.",Alergología
Se queja de acné nódulo-quístico desde esta mañana.,Dermatología
Paciente refiere que ideación suicida hace una semana.,Psiquiatría
"Doctor, tengo tengo problemas de potencia sexual que no pasa.",Urología
Manifiesta me siento muy nervioso y con miedo constante.,Psiquiatría
Indica tener fotofobia de inicio súbito.,Oftalmología
Presento se me salió el hueso hace una semana.,Traumatología
Acude por presentar escucho voces que nadie más oye que no pasa.,Psiquiatría
Siento que rinorrea hialina desde esta mañana.,Medicina General
Epigastralgia urente y siente dispepsia funcional.,Gastroenterología
Indica tener ya no hago del baño como antes intermitente.,Oncología
Acude por presentar gingivorragia constante.,Odontología
Manifiesta me duele todo el cuerpo que no pasa.,Medicina General
"La presión no me baja con nada, acompañado de me duele la espalda baja a los lados.",Nefrología
Desde ayer tengo me duele la espalda baja a los lados de inicio súbito.,Nefrología
Estoy con calentura y cuerpo cortado y además mojo la cama de sudor en la noche.,Infectología
Presento tos productiva con esputo que no pasa.,Neumología
Ayúdeme con nevus displásico hace una semana.,Dermatología
"Doctor, tengo todo lo que come lo vomita de inicio súbito.",Pediatría
Ayúdeme con tengo el colon inflamado constante.,Gastroenterología
Acude por presentar disnea paroxística nocturna que no pasa.,Neumología
Presento fenómeno de Raynaud de inicio súbito.,Reumatología
Manifiesta me pica la nariz y los ojos intermitente.,Alergología
Se queja de tengo sarpullido que pica mucho intermitente.,Dermatología
"Doctor, tengo reflujo gastroesofágico de inicio súbito.",Gastroenterología
Tengo me pica la nariz y los ojos que no pasa.,Alergología
Indica tener mojo la cama de sudor en la noche desde esta mañana.,Infectología
Acude por presentar halitosis desde esta mañana.,Odontología
"Doctor, tengo me duele la muela horrible desde hace 3 días.",Odontología
Presenta quemadura de segundo grado y dice que se tomó un veneno.,Emergencias
Indica tener temblor distal fino hace una semana.,Endocrinología
Cefalea tensional holocraneal con migraña con aura.,Neurología
Se queja de tiene una tos que no se le quita hace una semana.,Pediatría
Tengo vértigo posicional hace una semana.,Otorrinolaringología
Tengo me duele full el oído derecho constante.,Otorrinolaringología
Me da absceso periodontal intermitente.,Odontología
Se queja de cefalea leve constante.,Medicina General
Me da nevus displásico hace una semana.,Dermatología
"Estoy orinando sangre, acompañado de tengo un dolor en el riñón que me dobla.",Urología
Acude por presentar siento hormigueo en medio cuerpo que no pasa.,Neurología
Me da tengo una fiebre que no se me va constante.,Infectología
Paciente refiere que la orina sale con mucha espuma desde esta mañana.,Nefrología
Hay presencia de me siento decaído y sin fuerzas intermitente.,Medicina General
"Epistaxis anterior, sumado a otalgia derecha.",Otorrinolaringología
Indica tener tengo tos de perro con flema que no pasa.,Neumología
Indica tener se quemó con agua hirviendo intermitente.,Emergencias
"Tengo sarpullido que pica mucho, sumado a tengo la cara llena de granos feos.",Dermatología
Paciente refiere que bruxismo constante.,Odontología
Ayúdeme con ictericia marcada que no pasa.,Gastroenterología
Presenta pérdida de peso caquectizante y dice que ya no hago del baño como antes.,Oncología
Manifiesta me enronché después de tomar la pastilla hace una semana.,Alergología
Indica tener intolerancia al frío que no pasa.,Endocrinología
"Se me ponen los dedos blancos con el frío, acompañado de me duelen las coyunturas al despertar.",Reumatología
"Doctor, tengo mojo la cama de sudor en la noche que no pasa.",Infectología
Ayúdeme con le salieron granitos en todo el cuerpo desde hace 3 días.,Pediatría
"Tengo ganas de quitarme la vida, acompañado de no puedo pegar el ojo en toda la noche.",Psiquiatría
Presenta sangrado uterino anormal y dice que tengo una picazón allá abajo.,Ginecología
Desde ayer tengo dolor poliarticular desde esta mañana.,Reumatología
Presento herida cortopunzante profusa desde esta mañana.,Emergencias
Hay presencia de tengo morado y soplado después del golpe de inicio súbito.,Traumatología
"Casi no estoy orinando nada, acompañado de me duele la espalda baja a los lados.",Nefrología
Siento que tengo mucha sed y orino bastante que no pasa.,Endocrinología
Siento que me salió alergia por tocar algo que no pasa.,Alergología
Me hinca el corazón y siente se me va el aire al subir gradas.,Cardiología
Indica tener veo mosquitas volando que no pasa.,Oftalmología
Indica tener crisis de ansiedad generalizada de inicio súbito.,Psiquiatría
Hay presencia de algia lumbar mecánica de inicio súbito.,Traumatología
Desde ayer tengo me arde la boca del estómago de inicio súbito.,Gastroenterología
La orina sale con mucha espuma con casi no estoy orinando nada.,Nefrología
Presento polidipsia y poliuria hace una semana.,Endocrinología
Acude por presentar ya no veo bien las letras de lejos intermitente.,Oftalmología
Indica tener ya no hago del baño como antes que no pasa.,Oncología
"Tengo las piernas hinchadas como tamal, sumado a siento como una pata de elefante en el pecho.",Cardiología
Tengo me duele todo el cuerpo desde hace 3 días.,Medicina General
"Me siento muy nervioso y con miedo con no tengo ganas de hacer nada, solo llorar.",Psiquiatría
Tengo miodesopsias intermitente.,Oftalmología
Disfunción eréctil y además disuria y polaquiuria.,Urología
"Ideación suicida, acompañado de ánimo depresivo persistente.",Psiquiatría
Ayúdeme con me dio un soponcio y me caí desde hace 3 días.,Cardiología
Se queja de aumento de peso injustificado hace una semana.,Endocrinología
